Remover luminária do cadastro?;FID do Objeto;Tipo de Lâmpada;Potência Individual da Lâmpada (W);Fase;Modo de Operação;Quantidade de Lâmpadas;Quantidade de Reatores;Perda Individual Reator (W);Quantidade de Relefotoelétrico;Perda Individual do Relefotoelétrico (W);Perda Outros Equipamentos (W);Telegestão;Proprietário;Comando IP;Trecho Secundário;Conectado;Energizado;Nome do Município;Área do Objeto;Data Cadastro Mapa;Latitude;Longitude;UTM (X);UTM (Y);Data de Ligação;Data de Comunicação
Não;6223754;Vapor de Mercúrio;400;C;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;08/06/02 00:00;-28.98693017502;-49.41087528423;654810.71;6792421.84;08/06/02 00:00;08/06/02 00:00
Não;6223794;Vapor de Mercúrio;400;C;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.99048818808;-49.41448826966;654453.4;6792032.29;01/01/20 00:00;01/01/20 00:00
Não;6223812;Vapor de Mercúrio;400;B;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.99092308569;-49.41494946472;654407.82;6791984.7;01/01/20 00:00;01/01/20 00:00
Não;6223836;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.99042163212;-49.41540256732;654364.42;6792040.86;01/01/20 00:00;01/01/20 00:00
Não;14124648;Diodo Emissor de Luz (LED);100;B;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;20/03/23 00:00;-29.09258874680;-49.51798045742;644228.319;6780849.187;20/03/23 00:00;20/03/23 00:00
Não;14124979;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.09348873423;-49.51858495515;644168.229;6780750.197;21/03/23 00:00;21/03/23 00:00
Não;14125289;Diodo Emissor de Luz (LED);100;B;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.08871201922;-49.51505903443;644518.07643;6781275.1971;21/03/23 00:00;21/03/23 00:00
Não;14128931;Vapor de Sódio;70;B;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-29.02944741318;-49.45974158172;649988.154;6787773.406;09/09/16 00:00;09/09/16 00:00
Não;14128937;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.97273062952;-49.40459783379;655443.57;6793987.11;01/01/20 00:00;01/01/20 00:00
Não;14129055;Diodo Emissor de Luz (LED);100;B;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.95892859175;-49.38846025130;657036.95;6795495.25;14/10/09 00:00;14/10/09 00:00
